AMBITO,COMUNIDAD - MUNICIPIO ,FECHA,FIESTA - LOCALIDAD
LOCAL,SAN MARTÍN DEL REY AURELIO,11/11/2021,"San Martín y fiesta gastronómica de ""Los Nabos"" fiesta local para las parroquias de San Martín, Santa Bárbara y Blimea."
LOCAL,SAN MARTÍN DEL REY AURELIO,11/30/2021,"San Andrés y fiesta gastronómica de “Les cebolles rellenes”, fiesta local para las parroquias de San Andrés, El Entrego y Cocañín en la Güería"
LOCAL,SAN TIRSO DE ABRES,02/16/2021,Martes de Carnaval
LOCAL,SAN TIRSO DE ABRES,06/24/2021,Festividad de San Juan
LOCAL,SANTA EULALIA DE OSCOS,02/16/2021,Martes de Carnaval
LOCAL,SANTA EULALIA DE OSCOS,08/23/2021,Lunes posterior fiestas patronales
LOCAL,SANTO ADRIANO,03/19/2021,San José
LOCAL,SANTO ADRIANO,06/24/2021,San Juan
LOCAL,SARIEGO,07/26/2021,Santiago
LOCAL,SARIEGO,08/17/2021,San Pedrín
LOCAL,SIERO,04/06/2021,"Huevos Pintos, en todo el Concejo"
LOCAL,SIERO,07/19/2021,"El Carmín, todo Concejo excepto Lugones"
LOCAL,SIERO,08/30/2021,"Santa Isabel, Parroquia de Lugones"
LOCAL,SOBRESCOBIO,08/30/2021,Festividad de San Ginés
LOCAL,SOBRESCOBIO,10/11/2021,Víspera de la festividad del Pilar
LOCAL,SOMIEDO,04/30/2021,Feria anual
LOCAL,SOMIEDO,09/09/2021,Festividad de Nuestra Señora
LOCAL,SOTO DEL BARCO,06/24/2021,Festividad de San Juan
LOCAL,SOTO DEL BARCO,06/29/2021,Festividad de San Pedro
LOCAL,TAPIA DE CASARIEGO,06/29/2021,Festividad de San Pedro
LOCAL,TAPIA DE CASARIEGO,07/16/2021,Festividad de la Virgen del Carmen
LOCAL,TARAMUNDI,02/16/2021,Martes de Carnaval
LOCAL,TARAMUNDI,11/11/2021,Festividad de San Martín
LOCAL,TEVERGA,03/19/2021,Santiago
LOCAL,TEVERGA,06/29/2021,San Pedro
LOCAL,TINEO,06/29/2021,Festividad de San Pedro en todo el municipio
LOCAL,TINEO,08/19/2021,"San Roque, todo el municipio excepto en la Parroquia de Navelgas"
LOCAL,TINEO,08/27/2021,"Festividad de La Caridad, en la Parroquia de Navelgas"
15/02/201,VALDÉS,02/15/2021,"Lunes de Carnaval, en todo el Concejo, excepto en la parroquia de Trevías"
LOCAL,VALDÉS,08/23/2021,Festividad de San Timoteo en todo el Concejo
LOCAL,VALDÉS,09/29/2021,"Festividad de San Miguel, solamente en la Parroquia de Trevías"
LOCAL,VEGADEO,06/14/2021,Lunes de Feria
LOCAL,VEGADEO,08/16/2021,"Lunes, si coincidiera con otra festividad, la fiesta local pasaría al martes 17 de agosto"
LOCAL,VILLANUEVA DE OSCOS,02/16/2021,Martes de Carnaval
LOCAL,VILLANUEVA DE OSCOS,07/26/2021,Santa Ana
LOCAL,VILLAVICIOSA,09/13/2021,Fiestas Patronales Nuestra Señora del Portal
LOCAL,VILLAVICIOSA,09/15/2021,Fiestas Patronales Nuestra Señora del Portal
LOCAL,VILLAYON,07/16/2021,Festividad de Nuestra Sra. Del Carmen
LOCAL,VILLAYON,09/09/2021,Festividad de Nuestra Sra. De Oneta
LOCAL,YERNES Y TAMEZA,06/14/2021,San Antonio en Yernes
LOCAL,YERNES Y TAMEZA,10/11/2021,El Rosario en Villabre
